LATITUDE,LONGITUDE,PARCELNO,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality,overwrite
25.897074,-80.147064,622280210930,"1,587,500",12500,4428,41032,4815.7,8226.9,0,46198.8,39022.9,20455.9,16,0,June,5,#VALUE!
25.8972208,-80.148964,622280210440,"1,265,000",9375,3313,23278,4257.8,8852.7,0,46059.9,39174,19836.3,55,0,January,5,#VALUE!
25.8975851,-80.151392,622280200460,"2,450,000",9375,4028,62453,3523.5,9672.6,4.8,45930.7,39415.6,19068.5,2,0,January,5,#VALUE!
25.8975934,-80.151164,622280200450,"980,000",9375,3083,39782,3584.5,9599,5.6,45956.4,39406.1,19144.5,57,0,June,5,#VALUE!
25.8980587,-80.153587,622280140120,"1,130,000",9375,2650,4946,2835,10372.8,0,45902.9,39736.8,18330.5,60,0,August,5,#VALUE!
25.8980679,-80.151194,622280200360,"1,340,000",9375,2566,38299,3479.1,9610.7,0,46114.7,39573.8,19140.8,58,0,February,5,#VALUE!
25.8985041,-80.145395,622280210940,"1,200,000",15244,3315,26097,5067.3,7668.4,0,46848.5,39436.1,21037.4,37,0,August,5,#VALUE!
25.8986569,-80.149024,622280210370,"1,550,000",9375,2358,25757,3974.4,8856.3,0,46547.7,39690.8,19835.7,42,0,January,5,#VALUE!
25.8989154,-80.145918,622280211060,"1,020,000",9750,2494,48603,4844.5,7829.6,5.1,46955.5,39637,20858.2,16,0,January,5,#VALUE!
25.8989791,-80.157356,622280180050,"975,000",9375,2541,22771,1673,11600.7,3.6,45878.9,40296.2,17128.6,52,0,December,5,#VALUE!
25.8991148,-80.153251,622280200010,"950,000",9375,2387,24193,2704.7,10250.9,0,46285.1,40070,18479.8,26,0,October,5,#VALUE!
25.8994777,-80.148292,622280210580,"1,675,000",13176,4480,31386,4048.2,8595.8,0,46908.8,39925.7,20065.3,24,0,May,5,#VALUE!
25.9010582,-80.150691,722210034880,"120,000",1889,862,0,3144.4,9396,501.4,47253.4,40661.5,19372.4,21,0,October,1,#VALUE!
25.9017972,-80.157755,722210030800,"73,000",2654,916,1342,967.4,11708.3,803.5,46884,41370.9,17059.2,66,0,September,1,#VALUE!
25.9018386,-80.155005,722210031500,"86,500",2999,861,2207,1741,10796.2,835.7,47121.7,41200,17946.2,62,0,February,2,#VALUE!
25.9022615,-80.154648,722210032340,"99,300",3000,884,0,1773.5,10668.4,986.1,47305.5,41324.7,18082.7,58,0,January,2,#VALUE!
25.9261213,-80.128294,3122140030580,"1,604,000",9140,1484,6970,8143.2,2416.9,7.2,58214.8,49161.3,17891.1,46,0,March,5,#VALUE!
25.9286205,-80.14147,722150012000,"1,225,000",9350,3096,25519,3720.8,6775.6,36.7,57701.4,50234.3,14328.4,16,0,October,5,#VALUE!
25.9294059,-80.13943,722150011530,"1,830,000",8800,4729,31661,4288.9,6130,10.4,58142.5,50464.3,14538.6,16,0,July,5,#VALUE!
25.9295633,-80.142111,722150011950,"1,900,000",9200,4289,21507,3423.6,7013.6,34.8,57952.4,50589.1,13916.1,36,0,January,4,#VALUE!
25.9302876,-80.138128,722150011240,"1,100,000",8800,2520,20962,4616.9,5744.8,0,58584.9,50767.2,14581.5,31,0,November,4,#VALUE!
25.933397,-80.138821,722100010740,"1,375,000",9200,2991,28567,4097.8,6088.9,10.5,59591.3,51907.6,13585.3,35,0,May,4,#VALUE!
25.933423,-80.138084,722100010710,"1,425,000",9200,2676,26650,4329.7,5849,11.8,59673.3,51905.1,13751.1,42,0,December,4,#VALUE!
25.9344503,-80.138453,722100011000,"1,270,000",8800,3082,21648,4113.1,5981.9,15.6,59994.3,52284.2,13403.6,45,0,January,4,#VALUE!
25.9348715,-80.139008,722100011160,"1,250,000",9350,2990,46641,3891.9,6166.9,11,60086.7,52448,13164.2,27,0,November,4,#VALUE!
25.9354297,-80.139717,722100011310,"1,300,000",8800,3054,26327,3614.9,6406.3,10.2,60213.5,52663.2,12857.6,29,0,October,4,#VALUE!
25.9374973,-80.139084,722100011740,"1,200,000",8800,2932,34031,3609.3,6251.8,11.2,60991.5,53400.4,12493.5,30,0,December,4,#VALUE!
25.9477512,-80.122905,3122020060690,"2,100,000",11876,3537,27568,7889,1223.1,25.2,63232.2,57093,15124.4,28,0,July,4,#VALUE!
25.9486102,-80.123784,3122020060590,"900,000",13570,2111,2801,7501.9,1510.1,218.2,62911.1,57407.5,14649.4,47,0,July,2,#VALUE!
25.9488948,-80.122907,3122020060470,"715,000",7500,4098,0,7890.7,1284.8,386.9,62834.1,57524.4,14978.8,61,0,February,4,#VALUE!
25.9510054,-80.121411,3122020510020,"1,600,000",4402,3089,36292,8363.1,813.1,668.6,62149.3,58342.5,15202.9,1,0,February,5,#VALUE!
25.9513416,-80.12139,3122020510050,"1,550,000",4402,3089,35539,8374,809.4,668,62028.6,58464.9,15174.2,1,0,June,5,#VALUE!
25.9514536,-80.121382,3122020510060,"1,650,000",4402,3089,35539,8377.7,808.5,667.3,61988.4,58505.6,15164.8,1,0,May,5,#VALUE!
25.9565496,-80.12256,3122020330580,"1,200,000",7290,3912,37296,8063.4,1224.7,328.8,60076.1,60076.1,14353.5,19,0,October,5,#VALUE!
25.9566388,-80.12396,3122020330710,"1,385,000",5904,3678,1292,7574.6,1661.2,151.8,60022.8,60022.8,13879.2,10,0,November,5,#VALUE!
25.9568105,-80.12308,3122020330780,"1,200,000",5564,2978,31117,7847.3,1377.8,257,59988.7,59988.7,14132.4,9,0,December,5,#VALUE!
25.9569409,-80.121107,3122020330930,"1,100,000",5500,2626,36208,8556.3,762.2,398.1,59983.9,59983.9,14802.7,10,0,July,5,#VALUE!
25.9595194,-80.121505,1912350040230,"2,600,000",13125,3482,42460,8385.9,865.5,18.8,59042.4,59042.4,14469.2,30,0,May,4,#VALUE!
25.9603195,-80.129698,2822020320520,"1,650,000",8144,2674,39943,5757.2,3583.8,336.1,58493.8,58493.8,11819.8,22,0,October,5,#VALUE!
25.9605745,-80.129421,2822020320530,"1,250,000",6286,3015,34153,5823.5,3483.3,305.3,58415.6,58415.6,11865.8,18,0,December,5,#VALUE!
25.9616156,-80.129041,2822020320360,"1,365,000",5000,3611,32658,5975.4,3365.7,545.1,58080,58080,11958.8,18,0,November,5,#VALUE!
25.9661542,-80.122013,1912350050760,"2,600,000",15963,2707,185,8298.3,1094.9,0,56623,56623,14121.3,77,0,May,4,#VALUE!
25.9678166,-80.138457,2812340751260,"1,189,900",4692,3236,0,2951.4,6580.7,1633.4,55656.6,55656.6,8745.6,17,0,January,5,#VALUE!
25.967982,-80.138642,2812340751240,"1,100,000",3912,3143,0,2907.1,6630.6,1682.5,55623.9,55623.9,8697.5,17,0,January,5,#VALUE!
25.9681912,-80.126051,2812350640200,"1,060,000",7005,2868,23100,7036.8,2517.4,121.3,55735.3,55735.3,12826.9,24,0,December,5,#VALUE!
25.968266,-80.125912,2812350640210,"925,000",7000,2802,0,7076.8,2470.7,134.8,55711,55711,12866.4,25,0,June,5,#VALUE!
25.9687093,-80.127975,2812350560130,"860,000",4002,2553,0,6411.9,3163.5,322.8,55534.4,55534.4,12200,25,0,October,5,#VALUE!
25.9687467,-80.126272,2812350640160,"900,000",5703,2802,19250,6964.9,2592,213.5,55547.1,55547.1,12752.8,23,0,November,5,#VALUE!
25.9688196,-80.137501,2812340751580,"747,000",3063,2486,0,3292.2,6293.8,1421.5,55307.9,55307.9,9079.9,16,0,September,5,#VALUE!
25.9689461,-80.126263,2812350560490,"875,000",4071,3041,0,6983.6,2603.2,129.8,55477.8,55477.8,12771.4,23,0,November,5,#VALUE!
25.9689494,-80.127985,2812350560110,"800,000",4002,2868,0,6412.2,3162.1,238.8,55450.7,55450.7,12200,25,0,December,5,#VALUE!
25.9691836,-80.125977,2812350560770,"940,000",4002,2802,0,7076,2499,11.4,55394,55394,12863.8,24,0,June,5,#VALUE!
25.970996,-80.138123,2812340780720,"750,000",3335,2365,0,3103.1,6477.3,1781.3,54513.4,54513.4,8907.1,15,0,September,5,#VALUE!
25.9717992,-80.136252,2812340781940,"1,075,000",4439,3013,0,3750.4,5898.8,1140.5,54223.7,54223.7,9567,15,0,March,5,#VALUE!
25.9718089,-80.13613,2812340781930,"897,000",4512,2633,0,3790.5,5860.7,1110,54222,54222,9607.5,15,0,February,5,#VALUE!
25.8176739,-80.241139,3030000000000,"130,000",7600,1213,3048,159.7,28124.5,6612.6,21757.8,21757.8,1879.7,75,0,February,4,#VALUE!
25.8182336,-80.250025,3030000000000,"105,000",5450,1029,0,1907.2,29632.4,4972.8,24119.6,24119.6,2225.7,56,1,January,4,#VALUE!
25.8183084,-80.247921,3030000000000,"242,000",11336,3305,51302,2068.5,29314.6,5403.9,23579.3,23579.3,2169.9,33,1,January,4,#VALUE!
25.8187398,-80.248171,3030000000000,"117,000",5610,1260,0,2122,29501.4,5487.4,23761.8,23761.8,2330.2,67,1,January,4,#VALUE!
25.8187435,-80.248013,3030000000000,"215,000",5610,1607,5522,2147.7,29477.3,5520.1,23720.9,23720.9,2328.2,23,1,November,4,#VALUE!
25.819035,-80.248524,3030000000000,"136,200",8250,1542,7276,1972.2,29646,5492,23911.4,23911.4,2446,66,1,May,4,#VALUE!
25.8885134,-80.178071,622290280170,"225,000",10674,1889,5215,1862.2,18636.9,3979.1,40865.2,38801.7,10159.3,69,0,May,2,#VALUE!
25.8894234,-80.17358,622290150270,"108,000",7260,878,158,624.3,17104.6,2987.5,41420.5,38558.2,11626,67,0,June,1,#VALUE!
25.8919474,-80.183669,622300070070,"155,000",9372,1699,5526,4043.3,20361.1,2966.2,41932,40700.3,8381.5,71,0,December,2,#VALUE!
25.8922234,-80.178982,622300130010,"118,000",7230,1249,1214,2672.7,18803.6,4198.9,42198.1,40179.9,9908.7,58,0,December,2,#VALUE!
25.8925468,-80.181369,622300050680,"195,000",9100,1353,2428,3444.1,19593.8,3736.9,42210.5,40581.9,9146.9,67,0,October,2,#VALUE!
25.8928846,-80.182357,622300050620,"210,000",9450,1193,3809,3786.6,19905.1,3506.1,42305.5,40826.7,8821.9,67,0,June,2,#VALUE!
25.8929886,-80.179932,622300050390,"160,000",10500,914,0,3065.7,19106.7,4225.7,42412.5,40533.4,9621,81,0,June,1,#VALUE!
25.8930362,-80.174667,622290350110,"155,000",8224,1879,2945,1480.7,17374.4,2753.2,42654.4,39906.5,11345.7,66,0,August,4,#VALUE!
25.8932987,-80.174677,622290350120,"289,000",8090,2431,23707,1522,17372.6,2740.7,42750.2,39998.4,11347.3,46,0,April,4,#VALUE!
25.8937649,-80.176766,622290360030,"180,000",4950,1167,293,2222.4,18038.9,3394.6,42851,40427.6,10661.9,70,0,February,4,#VALUE!
25.8938035,-80.173394,622290390031,"240,000",6850,1320,4920,1208.7,16956.4,2312.9,42974.8,40003.1,11794.7,0,0,March,2,#VALUE!
25.8939204,-80.180004,622300110220,"250,000",8862,1804,3259,3222.8,19117.8,4369.5,42745.7,40853,9619.7,69,0,March,4,#VALUE!
25.89512,-80.173417,622290250210,"260,000",10725,1877,1731,1391,16928.1,2283.7,43443.7,40449,11795.4,21,0,April,2,#VALUE!
25.89512,-80.173417,622290250210,"285,000",10725,1877,1731,1391,16928.1,2283.7,43443.7,40449,11795.4,21,0,August,2,#VALUE!
25.8951762,-80.185139,622300061310,"179,000",6900,1317,906,4963.8,20791.8,3091.9,43076.7,41974,7957.6,26,0,April,2,#VALUE!
25.8952027,-80.171583,622290260230,"175,000",9088,1404,990,866.9,16331.4,1687,43566,40272.8,12404.7,67,0,April,2,#VALUE!
25.8954312,-80.179037,622290500251,"305,000",9525,1228,26063,3137.5,18772,4126.6,43326.6,41234.8,9953.8,21,0,March,2,#VALUE!
25.8955447,-80.17577,622290180040,"216,000",16006,1711,0,2144.3,17677.7,3032.5,43485.8,40861.1,11010,70,0,October,2,#VALUE!
25.8957279,-80.171611,622290260140,"200,000",8960,1617,70,963.9,16331.4,1686,43753.5,40455.9,12402.5,67,0,March,4,#VALUE!
25.896046,-80.173234,622290250060,"291,500",10500,1638,0,1484.8,16859.9,2213.3,43784.9,40743.4,11870.9,21,0,November,4,#VALUE!
25.8960552,-80.173,622290250070,"280,000",10500,1343,1140,1414.7,16779.2,2132.6,43798.4,40718.6,11944.3,21,0,September,2,#VALUE!
25.8964787,-80.175177,622290130230,"269,000",7800,1546,2761,2132.2,17501.4,2860.2,43861.7,41124.3,11245.5,21,0,July,4,#VALUE!
25.8965755,-80.173258,622290230660,"266,500",10275,1528,2943,1583.8,16864,2226,43975.2,40928.2,11870.9,59,0,August,4,#VALUE!
25.8968126,-80.178921,622290500411,"260,000",7650,1459,1900,3299.6,18714.7,4081.3,43860.3,41709.8,10005.2,21,0,May,2,#VALUE!
25.8968452,-80.176104,622290130130,"180,000",7800,1329,3935,2464.8,17808,3175.7,43951.4,41355.3,10948.4,69,0,July,2,#VALUE!
25.897,-80.172096,622290230390,"300,000",8220,2141,1439,1350.1,16489,1873.4,44186.5,40946.4,12267.9,65,0,July,4,#VALUE!
25.8980593,-80.181971,622290491710,"167,500",6850,1395,1493,4407.2,19711.1,4153.5,44192.2,42496.7,9042.9,67,0,April,2,#VALUE!
25.8982586,-80.168364,622290220750,"230,000",9360,1055,3042,713.3,15198.7,985.8,44847.1,40988.5,13469.1,26,0,December,2,#VALUE!
25.898302,-80.175826,622290510350,"130,000",9111,902,880,2635.5,17684,3171.9,44485,41813.4,11059.2,67,0,March,1,#VALUE!
25.8983096,-80.175623,622290510360,"135,000",9111,2389,0,2575.4,17612.8,3102.3,44495.3,41790.3,11121.5,67,0,April,2,#VALUE!
25.8984741,-80.178499,622290491090,"122,000",6227,927,2206,3433.2,18537.2,4030.7,44479.6,42219.8,10164,66,0,February,2,#VALUE!
25.8992574,-80.175273,622290510170,"155,000",8580,1323,1369,2673,17482.5,3104.2,44850.7,42072.4,11256.6,66,0,October,2,#VALUE!
25.8995099,-80.178213,622290492282,"160,000",8633,1551,4466,3526.9,18435.6,4039.2,44831.6,42506.2,10287.3,36,0,June,2,#VALUE!
25.9008043,-80.170011,622200050270,"247,500",7620,1731,75,1733.1,15738.2,2003.5,45667.3,42042.1,13016.8,26,0,March,2,#VALUE!
25.9010165,-80.185629,622190070420,"105,000",7680,1144,4314,5943.4,20863.5,3021,45201.1,43977.1,7890.7,61,0,January,1,#VALUE!
25.9012806,-80.169971,622200050520,"185,000",9108,2206,1565,1832.1,15715.4,2101.4,45836.5,42198.4,13034.6,61,0,October,2,#VALUE!
25.9016786,-80.170372,622200050470,"289,000",10560,1596,33845,2020.4,15839.2,2289.5,45954.8,42373,12904.6,39,0,February,2,#VALUE!
25.9017515,-80.182487,622190071130,"145,000",9000,1192,0,5160.6,19831.3,4062.9,45524.4,43802.1,8937.9,69,0,July,1,#VALUE!
25.9019343,-80.178113,622190070870,"180,000",8160,1796,1083,4009.3,18392.6,4370.3,45719.1,43323.5,10380.6,36,0,April,2,#VALUE!
25.9021547,-80.180732,622190070990,"275,000",9077,1730,3246,4752.3,19253.3,4651.4,45716,43714.7,9529.5,64,0,April,2,#VALUE!
25.9021953,-80.170439,622200061121,"240,000",10425,1682,20511,2163.7,15865.8,2431.8,46134.6,42556.8,12900.6,61,0,July,2,#VALUE!
25.9022042,-80.179596,622190070940,"276,000",9000,1517,2184,4454.1,18877.4,4843,45765.6,43589.6,9901.5,41,0,August,2,#VALUE!
25.9023291,-80.16705,622200060960,"215,000",9730,1154,2445,1378,14754.4,1603.9,46370.9,42277.7,14018.2,41,0,December,2,#VALUE!
25.9025869,-80.170006,622200061110,"300,033",10425,2219,5168,2153.2,15723.3,2425.5,46298.5,42649.5,13054.2,31,0,August,4,#VALUE!
25.9026909,-80.180748,622190080090,"245,000",9728,1424,2852,4866.6,19257,4656.6,45914,43897.9,9543.7,21,0,July,4,#VALUE!
25.9026972,-80.167074,622200060990,"225,000",9730,1399,0,1464.7,14761.3,1694,46504.8,42406.3,14022,66,0,September,2,#VALUE!
25.9029285,-80.183859,622190071560,"218,400",9525,1461,0,5764.1,20279.4,3644.1,45917.8,44368.5,8529.1,21,0,April,4,#VALUE!
25.9029578,-80.163067,622200160090,"230,000",8775,1969,27216,564.6,13444.3,1067.6,46847.8,42144.4,15341.4,63,0,August,2,#VALUE!
25.9031541,-80.178327,622190071900,"228,500",9525,1306,1891,4336.2,18463.2,4656.2,46148,43756.5,10347.8,26,0,November,4,#VALUE!
25.9035958,-80.167127,622200060660,"171,000",9730,2079,23528,1693.2,14784.6,1945.9,46819.1,42721.3,14034.2,66,0,February,2,#VALUE!
25.9038118,-80.175961,622190072350,"150,000",8636,1836,0,3914.8,17693.5,4188.9,46473.4,43710.9,11145.1,68,0,June,2,#VALUE!
25.9039079,-80.164297,622200240420,"278,000",8500,2045,16620,1086.9,13855.6,1535,47123.4,42596.4,14963.9,57,0,February,4,#VALUE!
25.9039421,-80.172091,622200060440,"195,000",10500,1112,648,2991,16418.4,3259.3,46679.2,43328.5,12413.4,66,0,April,2,#VALUE!
25.9041479,-80.176181,622190072270,"120,000",8636,1023,0,4049.4,17770.1,4323.2,46585.1,43849.1,11073.8,69,0,March,1,#VALUE!
25.9043115,-80.172335,622200060390,"259,000",10500,1538,1540,3143,16506,3412.2,46802.7,43483.3,12334.7,21,0,August,2,#VALUE!
25.9043284,-80.171885,622200060370,"250,000",10500,1483,0,3035.9,16357.5,3297.3,46829.5,43441.8,12481.2,31,0,August,2,#VALUE!
25.9044537,-80.182276,622190101010,"240,000",9506,1022,25597,5647.6,19775.4,4241.8,46501.4,44673.1,9068,36,0,November,2,#VALUE!
25.9044951,-80.181255,622190101060,"170,000",9503,1360,3004,5399.3,19444.8,4577.5,46541.8,44566.1,9406.7,41,0,July,2,#VALUE!
25.9045387,-80.180177,622190152850,"235,000",10500,1388,3893,5121,19081.7,4921.2,46587.9,44442.7,9752.1,21,0,April,4,#VALUE!
25.9046978,-80.185288,622190101250,"266,000",10727,1159,23005,6505.5,20766.5,3284.7,46528.7,45141.3,8075.5,31,0,April,2,#VALUE!
25.9047186,-80.184897,622190101150,"210,000",9506,1140,3590,6408.6,20646.1,3417.3,46542.2,45098.6,8211,69,0,November,2,#VALUE!
25.9047284,-80.184706,622190101140,"336,500",9506,1764,20337,6353.6,20577.9,3474,46548.1,45074.5,8268.4,21,0,July,4,#VALUE!
25.9049857,-80.168793,622200040250,"235,000",10016,1665,1036,2437.8,15352.9,2685.1,47229,43363.4,13492.3,65,0,March,2,#VALUE!
25.9058599,-80.168835,622200040090,"132,000",10031,1811,0,2662.7,15389.6,2942.4,47542.5,43674.2,13473.7,66,0,November,2,#VALUE!
25.9065503,-80.174928,622190150200,"262,000",9315,1217,0,4319.3,17411.3,4578.8,47495.2,44525,11471.4,21,0,November,2,#VALUE!
25.9066767,-80.180819,622190150840,"229,500",8100,1046,0,5801.6,19352.9,4889.8,47348.5,45249.6,9542,16,0,August,2,#VALUE!
25.9066887,-80.170856,622200200110,"120,000",7946,1223,23935,3362.2,16085.2,3604.8,47735.5,44158.6,12810.8,67,0,November,1,#VALUE!
25.9067065,-80.18009,622190150800,"289,900",8100,2785,10388,5628.4,19112.2,5121.7,47378.9,45171.4,9779.3,26,0,December,4,#VALUE!
25.9068374,-80.167305,622200390010,"210,000",12649,2138,2280,2529.6,14923.3,2935.6,47967.3,43872.2,13971.4,45,0,January,2,#VALUE!
25.9069713,-80.173676,622190150120,"245,000",8040,1744,2907,4124.6,17021.6,4353.2,47704.8,44545.6,11888.3,36,0,August,4,#VALUE!
25.9072721,-80.182982,622190061560,"253,500",6527,1764,20094,6486.7,20064.8,4270.7,47543.2,45740.4,8811.2,36,0,December,4,#VALUE!
25.9073984,-80.185749,622190061771,"241,000",9714,1871,3115,7202.2,20980.5,3434.3,47500.9,46101.7,7911.1,21,0,February,4,#VALUE!
25.9074754,-80.184223,622190061650,"250,000",17577,1397,15000,6811.2,20455.9,3888.4,47558.8,45928.4,8384.3,46,0,April,4,#VALUE!
25.907608,-80.180916,622190061410,"165,000",8723,1008,3445,6051.5,19412.2,4958.5,47685.9,45578.3,9505.4,31,0,September,2,#VALUE!
25.9077241,-80.1779,622190061160,"205,000",8712,1239,0,5337.5,18426.1,5606.7,47815.1,45262.8,10494,65,0,February,2,#VALUE!
25.9078386,-80.174643,3022200023380,"240,000",8712,1580,2550,4568,17364.6,4795.4,47977.5,44945,11562.6,0,0,April,2,#VALUE!
25.9079001,-80.18663,622190060050,"179,000",13900,1030,0,7532,21271.7,3222.8,47668,46377.9,7606.9,31,0,April,2,#VALUE!
25.9079606,-80.184338,622190060270,"145,000",7867,1167,1719,6978.9,20541.8,3947.3,47737.9,46118.5,8378.2,41,0,February,2,#VALUE!
25.9080799,-80.167954,3022200023090,"148,900",9900,1556,0,2973.7,15183.3,3424,48378.1,44362.6,13752.4,61,0,September,1,#VALUE!
25.9080799,-80.167954,3022200023090,"158,000",9900,1556,0,2973.7,15183.3,3424,48378.1,44362.6,13752.4,61,0,September,1,#VALUE!
25.9080799,-80.167954,3022200023090,"177,500",9900,1556,0,2973.7,15183.3,3424,48378.1,44362.6,13752.4,61,0,September,1,#VALUE!
25.9084862,-80.180965,622190060454,"215,000",9052,1648,1967,6272.5,19457.4,5049.4,47999.9,45878.1,9484.7,36,0,April,4,#VALUE!
25.908868,-80.184472,622190140850,"210,000",7740,1700,0,7225.9,20624.6,4045.2,48060.4,46434.9,8336.5,41,0,June,4,#VALUE!
25.9090008,-80.180679,622190140270,"267,500",8385,1445,0,6329.1,19387.7,5206.4,48194.3,46019.7,9580.4,62,0,September,2,#VALUE!
25.9092843,-80.173922,3022200022690,"140,000",9042,1427,16795,4589.1,17196.4,4796.3,48524.2,45363.9,11797.9,62,0,January,1,#VALUE!
25.9092843,-80.173922,3022200022690,"165,000",9042,1427,16795,4589.1,17196.4,4796.3,48524.2,45363.9,11797.9,62,0,June,1,#VALUE!
25.9092981,-80.183095,622190140140,"300,000",12655,1633,0,6987.4,20176.4,4501,48249.8,46412.8,8771.1,21,0,January,4,#VALUE!
25.9093569,-80.181659,622190140070,"324,000",8385,2313,0,6658,19722.5,4953.8,48303.9,46261.6,9255.6,21,0,December,4,#VALUE!
25.9101134,-80.184528,622190140730,"220,000",7320,1602,1564,7544.6,20697.9,4223.5,48514,46865,8316.8,31,0,July,4,#VALUE!
25.910186,-80.182488,622190140510,"300,000",7800,2601,10606,7060.2,20034,4829.4,48580.2,46637.5,8984.2,21,0,August,4,#VALUE!
25.9104493,-80.166331,3022200023970,"170,700",9042,1542,1940,2347.8,14767.7,3052.2,49317.7,45048.6,13404.4,61,0,December,1,#VALUE!
25.9105356,-80.173797,3022200022050,"231,000",9042,1382,0,4350.4,17219,4461.9,48980.1,45782.3,11766.6,21,0,February,2,#VALUE!
25.910556,-80.183672,3022190270080,"217,000",10500,1544,803,7406.4,20412,4528,48719.1,46933.5,8559.6,31,0,May,4,#VALUE!
25.910581,-80.172627,3022200022161,"180,000",9042,1782,3759,3992.4,16836.9,4161.2,49045.4,45680,12087.4,26,0,April,2,#VALUE!
25.910701,-80.169803,3022200022310,"220,000",9042,1163,0,3160.9,15916.1,3509.3,49223.8,45450.7,12647.7,16,0,October,2,#VALUE!
25.9108132,-80.184041,3022190390070,"315,000",7650,1811,21650,7518,20556.9,4478.2,48797,47054.4,8453.8,16,0,June,4,#VALUE!
25.9109241,-80.176151,622200010100,"150,000",8473,1302,27824,5021.9,17999.5,5005.3,49042.1,46173.3,11042.3,63,0,December,1,#VALUE!
25.9110507,-80.182046,3022190220060,"165,000",7500,2015,461,6857.1,19917.3,5092.3,48928.7,46894.1,9107,21,0,June,2,#VALUE!
